band_seconds_remaining,n,actual_mean,actual_median,pct_clock_ran_out,pct_censored,empirical_mean,empirical_gap,lognormal_mean,lognormal_gap,gamma_mean,gamma_gap,hazard_mean,hazard_gap,lgbm_quantile_mean,lgbm_quantile_gap
0-9,4186,3.071,3.0,50.45,17.5,8.766,5.695,16.384,13.312,15.51,12.439,9.707,6.636,3.206,0.135
10-19,5288,7.371,7.0,19.03,5.79,9.199,1.828,16.977,9.606,16.076,8.705,11.243,3.872,7.265,-0.106
20-24,2936,10.748,9.0,14.93,4.27,9.406,-1.342,17.064,6.316,16.172,5.424,12.871,2.123,10.426,-0.323
25-29,3136,13.081,11.0,14.43,3.51,9.492,-3.589,17.063,3.982,16.179,3.098,13.68,0.599,12.79,-0.29
30-34,3546,15.637,13.0,8.33,2.15,9.545,-6.092,17.166,1.528,16.307,0.67,14.312,-1.325,14.859,-0.778
35-39,3804,15.55,13.0,3.46,1.04,15.545,-0.005,17.168,1.618,16.316,0.766,14.798,-0.752,15.317,-0.233
40-44,3744,14.881,13.0,1.25,0.69,15.819,0.938,17.337,2.456,16.49,1.609,15.448,0.567,14.9,0.02
45-49,3702,14.249,12.0,0.49,0.22,15.823,1.574,17.424,3.175,16.58,2.331,15.984,1.735,14.342,0.093
50-59,6791,14.93,14.0,0.21,0.1,15.874,0.944,17.38,2.449,16.536,1.606,16.478,1.548,14.715,-0.216
60-89,18879,16.615,16.0,0.04,0.03,16.056,-0.559,17.481,0.866,16.644,0.029,17.07,0.455,16.321,-0.294
90-1200,667164,17.883,17.0,0.0,0.0,17.877,-0.006,18.394,0.51,17.656,-0.228,17.488,-0.395,17.691,-0.193
