arm,tempo_quintile,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing,n_steps
empirical,1,1064,66.183,63.969,2.214,6.528,8.291,0.7874,4,4
empirical,2,1064,66.738,66.569,0.17,6.528,8.291,0.7874,4,4
empirical,3,1063,69.632,68.066,1.566,6.528,8.291,0.7874,4,4
empirical,4,1064,71.02,69.803,1.217,6.528,8.291,0.7874,4,4
empirical,5,1064,72.711,72.26,0.452,6.528,8.291,0.7874,4,4
lognormal,1,1064,62.335,63.969,-1.634,7.661,8.291,0.924,4,4
lognormal,2,1064,64.706,66.569,-1.862,7.661,8.291,0.924,4,4
lognormal,3,1063,66.056,68.066,-2.01,7.661,8.291,0.924,4,4
lognormal,4,1064,67.505,69.803,-2.298,7.661,8.291,0.924,4,4
lognormal,5,1064,69.996,72.26,-2.264,7.661,8.291,0.924,4,4
gamma,1,1064,64.727,63.969,0.758,8.373,8.291,1.0099,4,4
gamma,2,1064,67.27,66.569,0.702,8.373,8.291,1.0099,4,4
gamma,3,1063,68.817,68.066,0.752,8.373,8.291,1.0099,4,4
gamma,4,1064,70.352,69.803,0.55,8.373,8.291,1.0099,4,4
gamma,5,1064,73.1,72.26,0.84,8.373,8.291,1.0099,4,4
hazard,1,1064,65.953,63.969,1.984,8.091,8.291,0.9759,4,4
hazard,2,1064,68.451,66.569,1.882,8.091,8.291,0.9759,4,4
hazard,3,1063,69.913,68.066,1.847,8.091,8.291,0.9759,4,4
hazard,4,1064,71.354,69.803,1.552,8.091,8.291,0.9759,4,4
hazard,5,1064,74.044,72.26,1.784,8.091,8.291,0.9759,4,4
lgbm_quantile,1,1064,66.016,63.969,2.047,8.787,8.291,1.0598,4,4
lgbm_quantile,2,1064,68.564,66.569,1.996,8.787,8.291,1.0598,4,4
lgbm_quantile,3,1063,70.341,68.066,2.276,8.787,8.291,1.0598,4,4
lgbm_quantile,4,1064,71.891,69.803,2.089,8.787,8.291,1.0598,4,4
lgbm_quantile,5,1064,74.803,72.26,2.543,8.787,8.291,1.0598,4,4
