arm,feature_set,n_games,sim_mean,actual_mean,mean_delta,sim_sd,actual_sd,sd_delta,count_ks_D,count_ks_p,overall_pass,all_powered_months_pass,n_powered_months,wrapped_halves,hit_draw_cap,g1_pass,eoh_actual_share_last_poss_under_35s,eoh_sim_share_last_poss_under_35s,eoh_actual_mean_duration_under_35s,eoh_sim_mean_duration_under_35s,eoh_n_actual_halves,eoh_n_sim_halves
empirical,A_state,5319,69.413,68.133,1.28,3.369,5.088,-1.719,0.2045,9.386220553249075e-98,False,False,5,5939,0,False,0.8832,0.9851,12.063,9.656,10638,10638
empirical,B_plus_teams,5319,69.236,68.133,1.103,4.268,5.088,-0.82,0.1198,1.2405577363532996e-33,False,False,5,5840,0,False,0.8832,0.9845,12.063,9.614,10638,10638
empirical,C_plus_score,5319,69.257,68.133,1.124,4.331,5.088,-0.757,0.1209,2.9077340349385423e-34,False,False,5,5884,0,False,0.8832,0.9829,12.063,9.499,10638,10638
empirical,D_plus_season,5319,69.504,68.133,1.37,4.302,5.088,-0.786,0.1427,1.2815710337502875e-47,False,False,5,6049,0,False,0.8832,0.9838,12.063,9.497,10638,10638
lognormal,A_state,5319,66.381,68.133,-1.752,4.507,5.088,-0.581,0.1372,4.533425552865958e-44,False,False,5,4268,0,False,0.8832,0.8878,12.063,11.853,10638,10638
lognormal,B_plus_teams,5319,66.228,68.133,-1.905,5.246,5.088,0.158,0.1397,1.2104798487506141e-45,False,False,5,4038,0,False,0.8832,0.8889,12.063,11.866,10638,10638
lognormal,C_plus_score,5319,66.12,68.133,-2.014,5.268,5.088,0.18,0.1476,6.412034101338192e-51,False,False,5,4046,0,False,0.8832,0.8934,12.063,11.786,10638,10638
lognormal,D_plus_season,5319,66.784,68.133,-1.349,5.296,5.088,0.208,0.0968,4.107561483462144e-22,False,False,5,4408,0,False,0.8832,0.8998,12.063,11.821,10638,10638
gamma,A_state,5319,69.176,68.133,1.043,3.764,5.088,-1.324,0.1587,7.907184904217408e-59,False,False,5,5710,0,False,0.8832,0.9524,12.063,11.432,10638,10638
gamma,B_plus_teams,5319,69.02,68.133,0.887,4.797,5.088,-0.292,0.0923,3.8963490275754394e-20,True,False,5,5575,0,False,0.8832,0.9537,12.063,11.509,10638,10638
gamma,C_plus_score,5319,68.853,68.133,0.72,4.809,5.088,-0.28,0.0797,4.056781986905056e-15,True,False,5,5573,0,False,0.8832,0.9514,12.063,11.652,10638,10638
gamma,D_plus_season,5319,69.48,68.133,1.346,4.832,5.088,-0.256,0.1273,6.032161809953096e-38,False,False,5,5950,0,False,0.8832,0.9551,12.063,11.391,10638,10638
hazard,A_state,5319,70.177,68.133,2.044,3.717,5.088,-1.371,0.2371,1.7233678714725108e-131,False,False,5,6274,0,False,0.8832,0.9941,12.063,7.732,10638,10638
hazard,B_plus_teams,5319,70.06,68.133,1.927,4.719,5.088,-0.369,0.1773,2.0695504109881493e-73,False,False,5,6280,0,False,0.8832,0.9934,12.063,7.813,10638,10638
hazard,C_plus_score,5319,69.943,68.133,1.81,4.73,5.088,-0.359,0.1671,2.9778781489718893e-65,False,False,5,6278,0,False,0.8832,0.9916,12.063,7.982,10638,10638
hazard,D_plus_season,5319,70.644,68.133,2.511,4.757,5.088,-0.331,0.2226,7.700331648053235e-116,False,False,5,6642,0,False,0.8832,0.9936,12.063,7.996,10638,10638
lgbm_quantile,A_state,5319,70.95,68.133,2.816,3.224,5.088,-1.864,0.3268,1.2686472844649088e-251,False,False,5,6708,0,False,0.8832,0.9977,12.063,5.447,10638,10638
lgbm_quantile,B_plus_teams,5319,70.82,68.133,2.687,4.486,5.088,-0.602,0.2386,3.561997987590212e-133,False,False,5,6675,0,False,0.8832,0.9975,12.063,5.51,10638,10638
lgbm_quantile,C_plus_score,5319,70.323,68.133,2.19,4.482,5.088,-0.607,0.2064,1.4521956769347547e-99,False,False,5,6564,0,False,0.8832,0.9967,12.063,5.825,10638,10638
lgbm_quantile,D_plus_season,5319,70.561,68.133,2.428,4.459,5.088,-0.629,0.2239,3.20601655514312e-117,False,False,5,6769,0,False,0.8832,0.995,12.063,5.734,10638,10638
