arm,cell,n,ks_D,ks_p,powered,leak_sized
empirical,DREB | 0-34,6552,0.007975064117564379,0.7957484160771422,True,False
empirical,DREB | 120-299,39095,0.007345944346528854,0.029271557909361978,True,False
empirical,DREB | 300-599,64535,0.016471825782242683,1.2208447566842678e-15,True,False
empirical,DREB | 35-119,19776,0.013581080460278283,0.0013450520342733613,True,False
empirical,DREB | 600+,125715,0.010563291941981856,1.2983986433660289e-12,True,False
empirical,TOV | 0-34,2984,0.025995863519298723,0.034819369307164116,True,False
empirical,TOV | 120-299,18055,0.01602406564601805,0.00018596713611617076,True,False
empirical,TOV | 300-599,30745,0.027662614481144654,7.155855332351067e-21,True,False
empirical,TOV | 35-119,9196,0.01982514479828079,0.0014311847166587975,True,False
empirical,TOV | 600+,63019,0.011196972890780532,2.72299332617866e-07,True,False
empirical,made_FG | 0-34,5322,0.024147010448076878,0.003966853383813225,True,False
empirical,made_FG | 120-299,40350,0.005802888090011893,0.1315374355741401,True,False
empirical,made_FG | 300-599,67288,0.009817325559336953,4.6249187580247885e-06,True,False
empirical,made_FG | 35-119,19323,0.011324392145735662,0.013974490086153672,True,False
empirical,made_FG | 600+,137113,0.007706563305219127,1.680897285298854e-07,True,False
empirical,made_FT | 0-34,4977,0.007989574578829983,0.9058705616662024,True,False
empirical,made_FT | 120-299,12683,0.024564743163883684,4.42185413412631e-07,True,False
empirical,made_FT | 300-599,16571,0.0069632943505874845,0.3959614882529622,True,False
empirical,made_FT | 35-119,8641,0.021374912957627057,0.0007335440648796576,True,False
empirical,made_FT | 600+,23057,0.023503360871115375,1.6977229838277278e-11,True,False
empirical,other | 0-34,422,0.07550023971388375,0.015423297921805568,True,True
empirical,other | 120-299,548,0.08028249643228591,0.0016095892603277737,True,True
empirical,other | 300-599,830,0.08607694930127263,8.455195495007203e-06,True,True
empirical,other | 35-119,352,0.03798225113045059,0.6755963626002146,True,False
empirical,other | 600+,1365,0.07075219246941056,2.18665692262426e-06,True,True
empirical,period_start | 300-599,356,0.09990501127415968,0.001516256870896753,True,True
empirical,period_start | 600+,10637,0.02584522747912521,1.3219317305454836e-06,True,False
