arm,terminal_event,n,actual_mean,actual_sd,model_mean,model_sd,mean_gap
empirical,FGA_3,194212,18.912,9.241,17.656,9.683,-1.256
empirical,FGA_jump2,128524,20.917,9.098,17.996,9.667,-2.92
empirical,FGA_rim,183713,16.971,9.671,17.396,9.689,0.425
empirical,FT_trip_bonus,40909,12.091,9.783,15.546,10.365,3.455
empirical,FT_trip_shooting,50819,15.373,9.928,17.585,9.763,2.212
empirical,TOV,125325,16.0,9.681,17.745,9.748,1.745
empirical,unknown,6005,6.482,10.716,19.202,9.963,12.72
lognormal,FGA_3,194212,18.912,9.241,18.429,13.859,-0.483
lognormal,FGA_jump2,128524,20.917,9.098,18.832,13.928,-2.084
lognormal,FGA_rim,183713,16.971,9.671,18.115,13.857,1.144
lognormal,FT_trip_bonus,40909,12.091,9.783,15.815,14.745,3.723
lognormal,FT_trip_shooting,50819,15.373,9.928,18.335,13.882,2.962
lognormal,TOV,125325,16.0,9.681,18.561,14.019,2.561
lognormal,unknown,6005,6.482,10.716,20.042,14.53,13.56
gamma,FGA_3,194212,18.912,9.241,17.674,10.888,-1.238
gamma,FGA_jump2,128524,20.917,9.098,18.074,10.934,-2.842
gamma,FGA_rim,183713,16.971,9.671,17.373,10.876,0.402
gamma,FT_trip_bonus,40909,12.091,9.783,15.061,11.665,2.969
gamma,FT_trip_shooting,50819,15.373,9.928,17.598,10.922,2.225
gamma,TOV,125325,16.0,9.681,17.815,11.033,1.814
gamma,unknown,6005,6.482,10.716,19.231,11.449,12.749
hazard,FGA_3,194212,18.912,9.241,17.382,10.788,-1.53
hazard,FGA_jump2,128524,20.917,9.098,17.743,10.925,-3.173
hazard,FGA_rim,183713,16.971,9.671,17.152,10.603,0.181
hazard,FT_trip_bonus,40909,12.091,9.783,15.214,10.649,3.123
hazard,FT_trip_shooting,50819,15.373,9.928,17.325,10.792,1.952
hazard,TOV,125325,16.0,9.681,17.546,10.898,1.546
hazard,unknown,6005,6.482,10.716,18.693,11.926,12.21
lgbm_quantile,FGA_3,194212,18.912,9.241,17.468,8.648,-1.444
lgbm_quantile,FGA_jump2,128524,20.917,9.098,17.92,8.623,-2.997
lgbm_quantile,FGA_rim,183713,16.971,9.671,17.168,8.653,0.197
lgbm_quantile,FT_trip_bonus,40909,12.091,9.783,14.731,9.368,2.639
lgbm_quantile,FT_trip_shooting,50819,15.373,9.928,17.399,8.73,2.026
lgbm_quantile,TOV,125325,16.0,9.681,17.628,8.736,1.627
lgbm_quantile,unknown,6005,6.482,10.716,18.982,8.855,12.5
two_regime,FGA_3,194212,18.912,9.241,17.399,8.647,-1.513
two_regime,FGA_jump2,128524,20.917,9.098,17.841,8.627,-3.076
two_regime,FGA_rim,183713,16.971,9.671,17.092,8.656,0.121
two_regime,FT_trip_bonus,40909,12.091,9.783,14.813,9.392,2.722
two_regime,FT_trip_shooting,50819,15.373,9.928,17.314,8.729,1.941
two_regime,TOV,125325,16.0,9.681,17.548,8.746,1.547
two_regime,unknown,6005,6.482,10.716,18.941,8.858,12.458
