arm,month,n_games,powered,sim_mean,actual_mean,mean_delta,sim_sd,actual_sd,sd_delta,pass
empirical,1,1358,True,69.573,67.653,1.92,4.279,4.907,-0.628,False
empirical,2,1203,True,69.113,67.341,1.773,4.269,4.847,-0.578,False
empirical,3,734,True,69.168,67.582,1.586,4.282,4.852,-0.57,False
empirical,4,16,False,69.656,69.062,0.594,3.365,4.505,-1.14,False
empirical,11,1125,True,70.93,69.487,1.443,4.235,5.234,-1.0,False
empirical,12,883,True,70.186,68.668,1.518,4.216,5.302,-1.085,False
lognormal,1,1358,True,66.707,67.653,-0.946,5.374,4.907,0.467,True
lognormal,2,1203,True,66.13,67.341,-1.211,5.335,4.847,0.488,False
lognormal,3,734,True,66.056,67.582,-1.526,5.391,4.852,0.539,False
lognormal,4,16,False,67.438,69.062,-1.625,4.347,4.505,-0.158,False
lognormal,11,1125,True,67.754,69.487,-1.732,5.258,5.234,0.024,False
lognormal,12,883,True,67.242,68.668,-1.426,5.198,5.302,-0.104,False
gamma,1,1358,True,69.52,67.653,1.866,4.904,4.907,-0.003,False
gamma,2,1203,True,68.968,67.341,1.627,4.878,4.847,0.031,False
gamma,3,734,True,68.989,67.582,1.407,4.969,4.852,0.118,False
gamma,4,16,False,69.219,69.062,0.156,3.647,4.505,-0.858,False
gamma,11,1125,True,70.68,69.487,1.193,4.796,5.234,-0.439,False
gamma,12,883,True,70.11,68.668,1.442,4.729,5.302,-0.573,False
hazard,1,1358,True,70.67,67.653,3.017,4.856,4.907,-0.051,False
hazard,2,1203,True,70.091,67.341,2.751,4.858,4.847,0.01,False
hazard,3,734,True,69.97,67.582,2.388,4.915,4.852,0.063,False
hazard,4,16,False,70.688,69.062,1.625,3.483,4.505,-1.022,False
hazard,11,1125,True,71.664,69.487,2.177,4.77,5.234,-0.465,False
hazard,12,883,True,71.143,68.668,2.475,4.605,5.302,-0.696,False
lgbm_quantile,1,1358,True,70.46,67.653,2.807,4.474,4.907,-0.433,False
lgbm_quantile,2,1203,True,70.007,67.341,2.667,4.544,4.847,-0.303,False
lgbm_quantile,3,734,True,69.898,67.582,2.316,4.606,4.852,-0.245,False
lgbm_quantile,4,16,False,69.406,69.062,0.344,3.602,4.505,-0.903,False
lgbm_quantile,11,1125,True,71.732,69.487,2.245,4.489,5.234,-0.745,False
lgbm_quantile,12,883,True,71.136,68.668,2.468,4.373,5.302,-0.929,False
two_regime,1,1358,True,70.349,67.653,2.696,4.426,4.907,-0.481,False
two_regime,2,1203,True,69.932,67.341,2.591,4.43,4.847,-0.417,False
two_regime,3,734,True,69.905,67.582,2.324,4.422,4.852,-0.43,False
two_regime,4,16,False,71.438,69.062,2.375,3.829,4.505,-0.676,False
two_regime,11,1125,True,72.184,69.487,2.698,4.533,5.234,-0.702,False
two_regime,12,883,True,71.541,68.668,2.873,4.391,5.302,-0.911,False
