arm,cell,n,ks_D,ks_p,powered,leak_sized
empirical,DREB | 0-34,6552,0.0079750641175643,0.7957484160771422,True,False
empirical,DREB | 120-299,39095,0.0073459443465288,0.0292715579093619,True,False
empirical,DREB | 300-599,64535,0.0164718257822426,1.2208447566842678e-15,True,False
empirical,DREB | 35-119,19776,0.0135810804602782,0.0013450520342733,True,False
empirical,DREB | 600+,125715,0.0105632919419818,1.2983986433660289e-12,True,False
empirical,TOV | 0-34,2984,0.0259958635192987,0.0348193693071641,True,False
empirical,TOV | 120-299,18055,0.016024065646018,0.0001859671361161,True,False
empirical,TOV | 300-599,30745,0.0276626144811446,7.155855332351067e-21,True,False
empirical,TOV | 35-119,9196,0.0198251447982807,0.0014311847166587,True,False
empirical,TOV | 600+,63019,0.0111969728907805,2.72299332617866e-07,True,False
empirical,made_FG | 0-34,5322,0.0241470104480768,0.0039668533838132,True,False
empirical,made_FG | 120-299,40350,0.0058028880900118,0.1315374355741401,True,False
empirical,made_FG | 300-599,67288,0.0098173255593369,4.6249187580247885e-06,True,False
empirical,made_FG | 35-119,19323,0.0113243921457356,0.0139744900861536,True,False
empirical,made_FG | 600+,137113,0.0077065633052191,1.680897285298854e-07,True,False
empirical,made_FT | 0-34,4977,0.0079895745788299,0.9058705616662024,True,False
empirical,made_FT | 120-299,12683,0.0245647431638836,4.42185413412631e-07,True,False
empirical,made_FT | 300-599,16571,0.0069632943505874,0.3959614882529622,True,False
empirical,made_FT | 35-119,8641,0.021374912957627,0.0007335440648796,True,False
empirical,made_FT | 600+,23057,0.0235033608711153,1.6977229838277278e-11,True,False
empirical,other | 0-34,422,0.0755002397138837,0.0154232979218055,True,True
empirical,other | 120-299,548,0.0802824964322859,0.0016095892603277,True,True
empirical,other | 300-599,830,0.0860769493012726,8.455195495007203e-06,True,True
empirical,other | 35-119,352,0.0379822511304505,0.6755963626002146,True,False
empirical,other | 600+,1365,0.0707521924694105,2.18665692262426e-06,True,True
empirical,period_start | 300-599,356,0.0999050112741596,0.0015162568708967,True,True
empirical,period_start | 600+,10637,0.0258452274791252,1.3219317305454836e-06,True,False
lognormal,DREB | 0-34,6552,0.1618327090695268,2.1526264158016318e-150,True,True
lognormal,DREB | 120-299,39095,0.1108218740477685,0.0,True,True
lognormal,DREB | 300-599,64535,0.0825759001166364,0.0,True,True
lognormal,DREB | 35-119,19776,0.1166808463877173,5.002886093048055e-235,True,True
lognormal,DREB | 600+,125715,0.0618671785357826,0.0,True,True
lognormal,TOV | 0-34,2984,0.1045324189020149,7.623978871015789e-29,True,True
lognormal,TOV | 120-299,18055,0.0794893453898746,1.1210641599804683e-99,True,True
lognormal,TOV | 300-599,30745,0.0858252264391495,1.7692510362526012e-197,True,True
lognormal,TOV | 35-119,9196,0.0711465388334793,6.37066339491486e-41,True,True
lognormal,TOV | 600+,63019,0.0798830933303783,0.0,True,True
lognormal,made_FG | 0-34,5322,0.1311265006353995,3.0022849530481383e-80,True,True
lognormal,made_FG | 120-299,40350,0.1542991563097752,0.0,True,True
lognormal,made_FG | 300-599,67288,0.1505560738680632,0.0,True,True
lognormal,made_FG | 35-119,19323,0.1365846868994252,7.02584433e-315,True,True
lognormal,made_FG | 600+,137113,0.1341386026985416,0.0,True,True
lognormal,made_FT | 0-34,4977,0.1188337503950424,1.0704842243606108e-61,True,True
lognormal,made_FT | 120-299,12683,0.1517502321937729,1.8269777755752505e-255,True,True
lognormal,made_FT | 300-599,16571,0.1617080739349747,0.0,True,True
lognormal,made_FT | 35-119,8641,0.100986329662893,3.602556924863962e-77,True,True
lognormal,made_FT | 600+,23057,0.1437186555136478,0.0,True,True
lognormal,other | 0-34,422,0.0762786349748212,0.0139494559876178,True,True
lognormal,other | 120-299,548,0.1646163089521811,1.9095218405185035e-13,True,True
