cell,n,ks_D,ks_p,powered,leak_sized
other | 60-89,90,0.2595273445557424,7.777315425428425e-06,False,False
other | 45-59,80,0.24513530144524354,0.00010177144053436163,False,False
other | 300+,2195,0.23491720693302232,4.986617573098216e-107,True,True
other | 150-299,461,0.23290833040183867,1.787615599347164e-22,True,True
other | 90-149,187,0.22013542440658257,1.9401873063798826e-08,False,False
other | 30-44,135,0.20692632216689688,1.5102761594182032e-05,False,False
other | 20-29,79,0.18428696947339832,0.00804541439665829,False,False
DREB | 20-29,1864,0.15880580570459574,1.5717575082855099e-41,True,True
TOV | 5-9,297,0.1574747275033615,6.71407852915222e-07,False,False
TOV | 10-19,639,0.1474189572072706,1.384527277302045e-12,True,True
DREB | 5-9,591,0.14380668826758486,3.9614924701797285e-11,True,True
DREB | 10-19,1513,0.14147293455550625,6.962909175115077e-27,True,True
DREB | 30-44,3879,0.13269909940240754,5.035560010384071e-60,True,True
made_FG | 30-44,3389,0.12986512154594,2.718267117535388e-50,True,True
TOV | 20-29,810,0.11899583121909618,1.8846114102848383e-10,True,True
made_FT | 5-9,461,0.11720865748067999,5.6467584585255456e-06,True,True
other | 5-9,64,0.11694258103769273,0.3202569099120399,False,False
TOV | 0-4,180,0.11526255989672463,0.015375127476373956,False,False
made_FG | 20-29,1533,0.11453898274488428,5.6259284269754605e-18,True,True
made_FT | 300+,39628,0.10327422935645536,0.0,True,True
made_FT | 150-299,10475,0.10284293074840642,6.520020999079054e-97,True,True
made_FG | 150-299,33573,0.09871897101316035,2.9349639707525893e-285,True,True
made_FG | 60-89,6713,0.09429703279772139,2.1136578602878536e-52,True,True
made_FG | 90-149,13350,0.09198829217222232,9.33062706193575e-99,True,True
made_FG | 300+,204402,0.08981920701246832,0.0,True,True
DREB | 45-59,3602,0.08864795324454461,4.4389362878837485e-25,True,True
made_FT | 10-19,1430,0.0872981294504327,6.240410416511602e-10,True,True
DREB | 60-89,6664,0.08246167885988298,7.225355195418237e-40,True,True
made_FT | 90-149,4753,0.08076383715106239,2.0462258726280658e-27,True,True
DREB | 0-4,304,0.0789949858239839,0.042589479209862446,True,True
TOV | 30-44,1663,0.07704446619518357,4.947301335556427e-09,True,True
made_FG | 0-4,173,0.07461917869496454,0.27645827823714,False,False
made_FT | 0-4,166,0.07423283986724594,0.30447659276896655,False,False
DREB | 90-149,13398,0.07141158053425223,7.376567368555635e-60,True,True
DREB | 150-299,32519,0.06815017484520874,9.142294567752923e-132,True,True
other | 0-4,72,0.06506753946254729,0.9010823706827334,False,False
made_FG | 45-59,3545,0.0625467257330547,1.6875201006368716e-12,True,True
made_FT | 20-29,1403,0.06101577003708755,5.539053183871348e-05,True,True
made_FG | 10-19,1208,0.054808846512023224,0.001354089329619521,True,True
made_FT | 60-89,2852,0.05251588758684267,2.81963714034829e-07,True,True
TOV | 90-149,6188,0.04958900866743665,1.1556499462981697e-13,True,False
period_start | 300+,10994,0.04842845646552579,7.580909369603531e-23,True,False
other | 10-19,104,0.04492441391148494,0.9785732574764358,False,False
made_FG | 5-9,444,0.042703251792466757,0.38227622929559024,True,False
TOV | 60-89,3104,0.04267692583933236,2.3799533185699693e-05,True,False
TOV | 300+,93765,0.040396718321812464,2.1606900413001704e-133,True,False
made_FT | 30-44,2095,0.03975404650361536,0.002588176384075372,True,False
TOV | 150-299,15063,0.0381559668908118,1.7220005083481097e-19,True,False
made_FT | 45-59,1847,0.037002465471151214,0.01239798525722444,True,False
DREB | 300+,190250,0.026423351780597515,7.939424211121451e-116,True,False
TOV | 45-59,1733,0.025699543318824902,0.1990511714072808,True,False
