cell,n,ks_D,ks_p,powered,leak_sized
made_FT | 0-4,410,0.5227290704406302,8.093116018667843e-105,True,True
TOV | 0-4,405,0.47908530428558804,5.494872177316224e-86,True,True
made_FT | 5-9,748,0.3985560037558282,1.0445929111288077e-107,True,True
DREB | 0-4,608,0.3928344730308446,4.624710271267825e-85,True,True
made_FG | 0-4,320,0.36495983273703114,1.0362722843955638e-38,True,True
other | 0-4,122,0.3329696113697663,1.4711046686229576e-12,False,False
TOV | 5-9,417,0.32672533022743333,3.861041820684824e-40,True,True
DREB | 5-9,807,0.3151076889277966,1.0107142358543648e-71,True,True
other | 45-59,80,0.29699781333380804,9.445608686757863e-07,False,False
made_FG | 5-9,623,0.2889245585874797,1.521598720105582e-46,True,True
other | 30-44,135,0.25879934981526437,1.832517190847832e-08,False,False
other | 60-89,90,0.25588454563591656,1.103846562271729e-05,False,False
other | 300+,2195,0.23777033903364203,1.1458141339308166e-109,True,True
DREB | 10-19,1763,0.23459166794325548,8.075204740965602e-86,True,True
DREB | 20-29,2111,0.2326752702830116,5.5802049879644135e-101,True,True
TOV | 10-19,737,0.22813336643927262,3.3988563703398184e-34,True,True
other | 150-299,461,0.2241436576035415,7.889358579837048e-21,True,True
other | 90-149,187,0.21480522441195676,4.7181041774934833e-08,False,False
made_FG | 20-29,1808,0.20817224806943202,3.332514344527107e-69,True,True
made_FG | 10-19,1458,0.1987267502805934,6.151333569184702e-51,True,True
TOV | 20-29,892,0.18938454311929975,1.7302998390802045e-28,True,True
made_FG | 30-44,3593,0.17063017973606742,6.273426386499716e-92,True,True
DREB | 30-44,3947,0.14715998345410763,4.538979672415178e-75,True,True
other | 5-9,64,0.12588543500377136,0.2414233615291479,False,False
made_FT | 10-19,1594,0.1226219805134463,2.399663928399217e-21,True,True
made_FT | 300+,39628,0.1034039832364462,0.0,True,True
other | 10-19,104,0.1030794659406778,0.20447468149539438,False,False
made_FT | 150-299,10475,0.10227968487660721,7.4222242347853535e-96,True,True
made_FG | 150-299,33573,0.09939713535105699,3.4060883552048884e-289,True,True
TOV | 30-44,1696,0.09299385889969647,3.248803117387391e-13,True,True
made_FG | 60-89,6714,0.09274785850368739,1.0330766454404619e-50,True,True
made_FG | 90-149,13350,0.0922357196628911,2.749705797198747e-99,True,True
made_FG | 300+,204401,0.08973396317952498,0.0,True,True
DREB | 45-59,3605,0.08915971141737494,2.1912858202898485e-25,True,True
made_FT | 20-29,1487,0.08244102493320038,3.067528864468014e-09,True,True
DREB | 60-89,6665,0.08149882057149438,5.886743940214302e-39,True,True
made_FT | 90-149,4753,0.07998775903030408,6.72487425134574e-27,True,True
other | 20-29,79,0.07433054527464361,0.746957749731054,False,False
DREB | 90-149,13398,0.07080956073425954,7.356156468752174e-59,True,True
DREB | 150-299,32519,0.06748583511508005,3.248048264267781e-129,True,True
made_FG | 45-59,3556,0.06350595984422253,6.538138191222187e-13,True,True
made_FT | 60-89,2852,0.05239282175333415,3.0356253952421815e-07,True,True
TOV | 90-149,6188,0.05100569402585109,1.9751821953979014e-14,True,True
period_start | 300+,10993,0.04786366088334587,2.521981914472376e-22,True,False
made_FT | 30-44,2132,0.043145404908727314,0.0006921988750871134,True,False
TOV | 60-89,3104,0.04279735225767556,2.2323434334340913e-05,True,False
TOV | 300+,93764,0.04045030566595875,9.61390984182632e-134,True,False
made_FT | 45-59,1850,0.03857862774271942,0.007903164107749825,True,False
TOV | 150-299,15063,0.03696509433994277,2.5559121606311392e-18,True,False
DREB | 300+,190250,0.02651831498502588,1.1714190538482325e-116,True,False
TOV | 45-59,1733,0.024997651696502476,0.2251888049486337,True,False
