cell,n,ks_D,ks_p,powered,leak_sized
made_FT | 0-4,410,0.5266372413000926,1.6413422876431704e-106,True,True
TOV | 0-4,405,0.4745018325152017,2.947116611443813e-84,True,True
DREB | 0-4,608,0.3932720970014082,2.9448413920630283e-85,True,True
made_FT | 5-9,748,0.39226364873460773,3.2399957109178624e-104,True,True
made_FG | 0-4,320,0.3695961870671275,1.010092745787257e-39,True,True
other | 0-4,122,0.3382783995354939,5.865425992370929e-13,False,False
other | 45-59,80,0.3044022090364697,4.4772866505533886e-07,False,False
TOV | 5-9,417,0.3039716724843078,1.0937584083462841e-34,True,True
made_FG | 5-9,623,0.2905296950240768,4.5555718509628215e-47,True,True
DREB | 5-9,807,0.28934961196830167,2.526206834058184e-60,True,True
other | 30-44,135,0.26455150652058546,7.898327104986656e-09,False,False
other | 5-9,64,0.25887461757068697,0.0002851754035509326,False,False
other | 10-19,104,0.2438870428232266,6.231333978822626e-06,False,False
made_FG | 10-19,1458,0.19023414486322066,1.1135538193359664e-46,True,True
made_FG | 20-29,1808,0.18091327916955802,2.9864708411988317e-52,True,True
other | 20-29,79,0.1745757125795831,0.014138234826839402,False,False
DREB | 10-19,1763,0.15925670668376213,1.581757505124037e-39,True,True
TOV | 10-19,737,0.15231975030434175,2.1443388079281336e-15,True,True
DREB | 20-29,2111,0.13702856544836906,4.905016202354479e-35,True,True
made_FT | 10-19,1594,0.13148016227959824,1.7333773853437408e-24,True,True
made_FT | 20-29,1487,0.11128179644272429,1.7067859800313388e-16,True,True
TOV | 20-29,892,0.10338229307783409,9.386647845678189e-09,True,True
other | 60-89,90,0.09802105690666663,0.3310085613577748,False,False
other | 150-299,461,0.09326890530993937,0.0006103734583005272,True,True
other | 90-149,187,0.08151201014638343,0.15764687500929575,False,False
made_FG | 30-44,3593,0.0814665815646175,3.432569639043995e-21,True,True
other | 300+,2195,0.0718426950388702,2.688114834025954e-10,True,True
made_FT | 45-59,1850,0.06254730608114722,9.812086340603932e-07,True,True
TOV | 45-59,1733,0.05489267815697363,5.5845811895529266e-05,True,True
made_FT | 30-44,2132,0.052176695420007635,1.745590399924322e-05,True,True
TOV | 30-44,1696,0.05058342966010432,0.0003276852363731047,True,True
made_FG | 45-59,3556,0.05012466936892723,3.329221425124649e-08,True,True
DREB | 30-44,3947,0.049409491223137425,8.18629465418237e-09,True,False
made_FG | 60-89,6714,0.048805356079650086,2.4495126813840798e-14,True,False
made_FT | 90-149,4753,0.04845320118548646,3.891140896044684e-10,True,False
made_FT | 300+,39628,0.04733604169014194,1.3285619316397403e-77,True,False
made_FT | 60-89,2852,0.04725282128151098,5.673146988086099e-06,True,False
made_FT | 150-299,10475,0.04677334504416841,2.3608825567363274e-20,True,False
made_FG | 150-299,33573,0.046339120409477075,4.364998261838355e-63,True,False
made_FG | 300+,204401,0.04583214874628727,0.0,True,False
period_start | 300+,10993,0.044775841507248004,1.369469757657456e-19,True,False
DREB | 60-89,6665,0.04467058766052401,5.3867863463839135e-12,True,False
made_FG | 90-149,13350,0.044313543064485365,3.223566135184842e-23,True,False
DREB | 150-299,32519,0.043595705602474166,3.826549361245845e-54,True,False
TOV | 150-299,15063,0.0435078006753149,3.251807588171271e-25,True,False
DREB | 90-149,13398,0.04176693015434263,9.556495010903281e-21,True,False
TOV | 300+,93764,0.04131060752729454,1.777552396748209e-139,True,False
DREB | 300+,190250,0.040236485017278056,4.5636930000259187e-268,True,False
TOV | 90-149,6188,0.04008244607023115,4.481579634270423e-09,True,False
TOV | 60-89,3104,0.03927213009578445,0.00013499888956965256,True,False
DREB | 45-59,3605,0.03689320388349504,0.0001064946826727529,True,False
