cell,n,ks_D,ks_p,powered,leak_sized
made_FT | 0-4,166,0.15904433057498113,0.0003905023251963378,False,False
other | 45-59,80,0.15362337934035697,0.040952659391727986,False,False
other | 5-9,64,0.1468635784231902,0.1141875205968852,False,False
other | 10-19,104,0.14349841923663242,0.024805579702980918,False,False
other | 0-4,72,0.13667175344732696,0.12353245560251125,False,False
TOV | 0-4,180,0.12106995034634271,0.009320874560018818,False,False
other | 20-29,79,0.11048750888297393,0.2693904879965554,False,False
made_FT | 5-9,461,0.10896925312857741,3.1941084569553134e-05,True,True
made_FG | 0-4,173,0.09309699002062122,0.09349282756541177,False,False
TOV | 10-19,639,0.08881058182054158,7.787443468368365e-05,True,True
other | 150-299,461,0.0871748628010367,0.0016946438162208767,True,True
other | 90-149,187,0.0829346952228961,0.1442944264247712,False,False
other | 60-89,90,0.07799070564945759,0.6159576281522926,False,False
made_FG | 10-19,1208,0.07537323746280888,2.050076576225078e-06,True,True
DREB | 5-9,591,0.07505429114795603,0.0024267642266829373,True,True
TOV | 5-9,297,0.07165699865029751,0.09017542510060628,False,False
made_FG | 20-29,1533,0.07068588960553734,4.178556020154617e-07,True,True
other | 300+,2195,0.06945155208723364,1.1902842781645054e-09,True,True
DREB | 10-19,1513,0.0626677414450808,1.3122660059165039e-05,True,True
made_FG | 5-9,444,0.06162258823452005,0.06579524486386445,True,True
TOV | 20-29,810,0.060468335831494135,0.005124102760462347,True,True
made_FT | 20-29,1403,0.05818769392903711,0.0001431076713618969,True,True
DREB | 0-4,304,0.05329965362898903,0.34147650675189567,True,True
DREB | 20-29,1864,0.05056768970610681,0.00013946283330082247,True,True
TOV | 45-59,1733,0.04724897823014773,0.0008426581102021032,True,False
made_FG | 30-44,3389,0.044095221329831014,3.6522477061193563e-06,True,False
made_FT | 10-19,1430,0.03892362519221171,0.025562236249955683,True,False
other | 30-44,135,0.036257176083031584,0.9916228820188339,False,False
made_FT | 45-59,1847,0.034750797380906695,0.022558827058607414,True,False
made_FT | 30-44,2095,0.03320588160519733,0.019261229525394195,True,False
period_start | 300+,10994,0.027909345420743192,7.138127727180366e-08,True,False
made_FT | 90-149,4753,0.02440357571234067,0.006841418002387654,True,False
made_FG | 45-59,3545,0.02260570022500827,0.052589276650999994,True,False
made_FT | 150-299,10475,0.021690928707335383,0.00010317990178835004,True,False
TOV | 30-44,1663,0.020441034494813992,0.48428944576601674,True,False
TOV | 60-89,3104,0.020224079033019482,0.1556707706317758,True,False
TOV | 150-299,15063,0.020207645943629227,8.956044451704287e-06,True,False
DREB | 90-149,13398,0.016917283602511074,0.000923481364008005,True,False
made_FG | 60-89,6713,0.016641288133563387,0.04801879935768372,True,False
made_FT | 60-89,2852,0.01614070051814276,0.4426979885911928,True,False
TOV | 300+,93765,0.01572397959941013,1.442456622799032e-20,True,False
DREB | 45-59,3602,0.01564335538225825,0.3378706771208536,True,False
made_FT | 300+,39628,0.015081676555860568,2.9318485102650772e-08,True,False
TOV | 90-149,6188,0.01507746820696415,0.11876696326084568,True,False
DREB | 30-44,3879,0.011535505578539107,0.6758741121479352,True,False
DREB | 300+,190250,0.011137306805559105,6.307214655504022e-21,True,False
DREB | 60-89,6664,0.007798973742453641,0.8093108273618754,True,False
made_FG | 90-149,13350,0.006738481320602729,0.5769709166662139,True,False
DREB | 150-299,32519,0.00662599303779654,0.1145343270188931,True,False
made_FG | 150-299,33573,0.0057209797099595505,0.22097944292493166,True,False
made_FG | 300+,204402,0.004417997105022442,0.0006829109469505104,True,False
